seed,density,gridSize,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
None,None,50,48,317,237,0.007938374998047948,79,61160,da2,
None,None,50,45,567,489,0.005193833960220218,78,55488,a2,
None,None,50,48,1101,1023,0.0422422910341993,78,84896,lee,
None,None,50,41,531,423,0.005049083032645285,108,29104,literbs,MERGEINTRAIL R:506
None,None,50,42,335,228,0.003174791927449405,107,16880,literbs-pythag,MERGEPOINT R:296
None,None,50,42,531,424,0.006554500083439052,107,38528,literbs-pruned,MERGEINTRAIL R:506
None,None,50,42,531,424,0.007700833026319742,107,34864,literbs-pruned-spacing,MERGEINTRAIL R:506
None,None,50,53,663,582,0.0076495829271152616,81,31720,literbs-8,MERGEPOINT R:773
None,None,50,51,663,584,0.009751249919645488,79,56856,literbs-8-pruned,MERGEINTRAIL R:773
None,None,50,47,531,453,0.006944000022485852,78,29232,literbs-8-pruned-spacing,MERGEINTRAIL R:506
None,None,50,48,776,694,0.01061320910230279,82,33736,literbs-8-pythag,MERGEPOINT R:971
None,None,50,49,776,697,0.013566000037826598,79,60560,literbs-8-pythag-pruned,MERGEINTRAIL R:971
None,None,50,45,541,468,0.008915833081118762,73,58256,jps,
None,None,50,49,1114,1036,0.09174112509936094,78,92064,bf,
None,None,50,45,1114,1036,0.007920374977402389,78,94888,spfa,
None,None,50,58,423,316,0.01019516703672707,106,77016,da2,
None,None,50,57,614,508,0.005860124947503209,106,53280,a2,
None,None,50,55,1033,927,0.03846975008491427,106,83200,lee,
None,None,50,50,475,335,0.00452641595620662,140,28704,literbs,MERGEINTRAIL R:460
None,None,50,50,535,396,0.0054359580390155315,139,29792,literbs-pythag,MERGEPOINT R:509
None,None,50,50,475,336,0.006074624950997531,139,37880,literbs-pruned,MERGEINTRAIL R:460
None,None,50,50,475,336,0.007434042054228485,139,36256,literbs-pruned-spacing,MERGEINTRAIL R:460
None,None,50,58,743,635,0.009733541985042393,108,37800,literbs-8,MERGEPOINT R:974
None,None,50,58,743,635,0.012512124958448112,108,65912,literbs-8-pruned,MERGEINTRAIL R:974
None,None,50,58,475,369,0.00665250001475215,106,28216,literbs-8-pruned-spacing,MERGEINTRAIL R:460
None,None,50,56,729,620,0.011698083020746708,109,32656,literbs-8-pythag,MERGEPOINT R:1092
None,None,50,56,729,621,0.012264666962437332,108,32648,literbs-8-pythag-pruned,MERGEINTRAIL R:1092
None,None,50,57,616,514,0.010620291926898062,102,52968,jps,
