seed,density,gridSize,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
None,8,50,49,286,230,0.002515624975785613,55,43104,da2,
None,8,50,49,2200,2147,0.0243326670024544,53,194672,a2,
None,8,50,49,2307,2255,0.3490913750138134,52,123832,lee,
None,8,50,26,250,144,0.0012701660161837935,106,11104,literbs,MERGEINTRAIL R:103
None,8,50,58,265,166,0.0013128329301252961,99,11224,literbs-pythag,MERGEPOINT R:97
None,8,50,24,250,149,0.0015850829659029841,101,11032,literbs-pruned,MERGEDIRECT R:103
None,8,50,34,286,185,0.0034494580468162894,101,11680,literbs-pruned-spacing,MERGEDIRECT R:99
None,8,50,50,310,257,0.0008233330445364118,53,9400,literbs-8,MERGEPOINT R:51
None,8,50,50,310,257,0.0008819580543786287,53,9400,literbs-8-pruned,MERGEINTRAIL R:51
None,8,50,51,353,290,0.004256959073245525,63,10360,literbs-8-pruned-spacing,MERGEDIRECT R:63
None,8,50,49,311,259,0.0009794579818844795,52,9408,literbs-8-pythag,MERGEPOINT R:50
None,8,50,49,311,259,0.0010371250100433826,52,9408,literbs-8-pythag-pruned,MERGEINTRAIL R:50
None,8,50,50,257,205,0.007363750017248094,52,30456,jps,
None,8,50,50,2307,2255,0.03358566702809185,52,239424,bf,
None,8,50,50,2307,2255,0.019738958100788295,52,341896,spfa,
None,8,50,51,283,227,0.002497166977263987,55,43240,da2,
None,8,50,50,2104,2051,0.02297266700770706,53,190800,a2,
None,8,50,49,2309,2258,0.34536287502851337,51,123832,lee,
None,8,50,26,260,156,0.0012487079948186874,104,11160,literbs,MERGEDIRECT R:102
None,8,50,59,267,168,0.0013058750191703439,99,11272,literbs-pythag,MERGEPOINT R:97
None,8,50,27,260,157,0.0015624579973518848,103,11152,literbs-pruned,MERGEDIRECT R:102
None,8,50,31,311,204,0.0038577920058742166,107,12296,literbs-pruned-spacing,MERGEDIRECT R:109
None,8,50,50,322,269,0.0008513749344274402,53,9664,literbs-8,MERGEPOINT R:51
None,8,50,50,322,269,0.0009032920934259892,53,9664,literbs-8-pruned,MERGEINTRAIL R:51
None,8,50,51,369,305,0.004410874913446605,64,10760,literbs-8-pruned-spacing,MERGEDIRECT R:65
None,8,50,50,323,271,0.0010110000148415565,52,9656,literbs-8-pythag,MERGEPOINT R:51
None,8,50,50,323,271,0.0010642909910529852,52,9656,literbs-8-pythag-pruned,MERGEDIRECT R:51
None,8,50,49,223,172,0.005306417006067932,51,29648,jps,
None,8,50,49,2309,2258,0.061666916008107364,51,238640,bf,
None,8,50,49,2309,2258,0.01974883396178484,51,343072,spfa,
None,8,50,50,277,221,0.002373958006501198,55,47872,da2,
None,8,50,49,2085,2030,0.02312199992593378,55,190064,a2,
None,8,50,50,2305,2253,0.34580600005574524,52,123832,lee,
None,8,50,20,254,152,0.0012435000389814377,102,11040,literbs,MERGEINTRAIL R:99
None,8,50,56,252,151,0.001329084043391049,101,11016,literbs-pythag,MERGEPOINT R:99
None,8,50,20,254,153,0.001551083056256175,101,11032,literbs-pruned,MERGEDIRECT R:99
None,8,50,26,274,175,0.0032675829716026783,99,11328,literbs-pruned-spacing,MERGEDIRECT R:97
None,8,50,50,320,266,0.0008681250037625432,54,9632,literbs-8,MERGEPOINT R:53
None,8,50,50,320,266,0.0009502499597147107,54,9632,literbs-8-pruned,MERGEDIRECT R:53
None,8,50,48,359,292,0.004228499950841069,67,10576,literbs-8-pruned-spacing,MERGEDIRECT R:71
None,8,50,51,313,260,0.001019582967273891,53,9520,literbs-8-pythag,MERGEPOINT R:52
None,8,50,51,313,260,0.0010795829584822059,53,9520,literbs-8-pythag-pruned,MERGEDIRECT R:52
None,8,50,50,256,204,0.006345250061713159,52,30264,jps,
None,8,50,50,2305,2253,0.05927629198413342,52,238192,bf,
None,8,50,50,2305,2253,0.019814667059108615,52,340160,spfa,
None,8,50,52,289,233,0.0024925830075517297,55,48136,da2,
None,8,50,50,2226,2173,0.024465291993692517,53,198136,a2,
None,8,50,49,2310,2258,0.3486703330418095,52,123832,lee,
None,8,50,13,269,165,0.0012366670416668057,104,11416,literbs,MERGEINTRAIL R:101
None,8,50,61,255,156,0.0012969160452485085,99,11016,literbs-pythag,MERGEPOINT R:97
None,8,50,13,269,166,0.0015927910571917892,103,11408,literbs-pruned,MERGEDIRECT R:101
None,8,50,29,295,194,0.00361483299639076,101,11776,literbs-pruned-spacing,MERGEDIRECT R:105
None,8,50,50,316,263,0.0008553749648854136,53,9584,literbs-8,MERGEPOINT R:51
None,8,50,50,316,263,0.0009078750154003501,53,9584,literbs-8-pruned,MERGEINTRAIL R:51
None,8,50,50,409,342,0.005039708106778562,67,13904,literbs-8-pruned-spacing,MERGEDIRECT R:85
None,8,50,50,306,254,0.0009851250797510147,52,9440,literbs-8-pythag,MERGEPOINT R:50
None,8,50,50,306,254,0.0010484999511390924,52,9440,literbs-8-pythag-pruned,MERGEINTRAIL R:50
None,8,50,50,246,194,0.007523041917011142,52,31072,jps,
None,8,50,50,2310,2258,0.04789962503127754,52,238528,bf,
None,8,50,50,2310,2258,0.019642457948066294,52,341168,spfa,
None,8,50,50,316,261,0.002601417014375329,54,48376,da2,
None,8,50,49,2156,2104,0.024341291980817914,52,193272,a2,
None,8,50,50,2312,2260,0.34723554097581655,52,123832,lee,
None,8,50,19,261,161,0.0011472079204395413,100,11208,literbs,MERGEINTRAIL R:97
None,8,50,59,337,238,0.0016334590036422014,99,12376,literbs-pythag,MERGEPOINT R:128
None,8,50,19,261,162,0.0014450839953497052,99,11200,literbs-pruned,MERGEDIRECT R:97
None,8,50,31,276,177,0.003444582922384143,99,11400,literbs-pruned-spacing,MERGEDIRECT R:97
None,8,50,50,335,280,0.0008727919775992632,55,9928,literbs-8,MERGEPOINT R:54
None,8,50,50,335,280,0.0009656669571995735,55,9928,literbs-8-pruned,MERGEDIRECT R:54
None,8,50,51,352,293,0.004397000069729984,59,10216,literbs-8-pruned-spacing,MERGEINTRAIL R:57
None,8,50,50,311,259,0.0009604579536244273,52,9600,literbs-8-pythag,MERGEPOINT R:50
None,8,50,50,311,259,0.0010406250366941094,52,9600,literbs-8-pythag-pruned,MERGEINTRAIL R:50
None,8,50,50,242,190,0.006642583059147,52,30496,jps,
None,8,50,49,2312,2260,0.03450733295176178,52,238248,bf,
None,8,50,49,2312,2260,0.019777499954216182,52,341336,spfa,
None,8,50,51,320,266,0.0026041249511763453,53,48480,da2,
None,8,50,50,2249,2196,0.02596341702155769,53,198312,a2,
None,8,50,50,2309,2257,0.3489088749047369,52,123832,lee,
None,8,50,15,263,163,0.0012030000798404217,100,11248,literbs,MERGEINTRAIL R:97
None,8,50,65,259,160,0.0012924999464303255,99,11088,literbs-pythag,MERGEPOINT R:97
None,8,50,15,263,164,0.001491290982812643,99,11240,literbs-pruned,MERGEDIRECT R:97
None,8,50,41,280,181,0.0033475409727543592,99,11584,literbs-pruned-spacing,MERGEDIRECT R:97
None,8,50,50,339,285,0.0008779580239206553,54,10008,literbs-8,MERGEPOINT R:53
None,8,50,50,339,285,0.0009464999893680215,54,10008,literbs-8-pruned,MERGEDIRECT R:53
None,8,50,51,343,286,0.003978916094638407,57,10328,literbs-8-pruned-spacing,MERGEDIRECT R:56
None,8,50,49,332,279,0.0010152499889954925,53,9896,literbs-8-pythag,MERGEPOINT R:52
None,8,50,49,332,279,0.00107849994674325,53,9896,literbs-8-pythag-pruned,MERGEDIRECT R:52
None,8,50,50,275,223,0.00883887498639524,52,30672,jps,
None,8,50,50,2309,2257,0.03433383395895362,52,237912,bf,
None,8,50,50,2309,2257,0.01965670892968774,52,341112,spfa,
None,8,50,48,257,197,0.002399250050075352,59,42712,da2,
None,8,50,48,2120,2063,0.023425208986736834,57,191392,a2,
None,8,50,49,2311,2259,0.3461397918872535,52,123832,lee,
None,8,50,20,245,143,0.0012005410389974713,102,10832,literbs,MERGEINTRAIL R:99
None,8,50,64,271,170,0.0013234170619398355,101,11424,literbs-pythag,MERGEPOINT R:99
None,8,50,20,245,144,0.001552834059111774,101,10824,literbs-pruned,MERGEDIRECT R:99
None,8,50,34,308,203,0.00383525004144758,105,12152,literbs-pruned-spacing,MERGEINTRAIL R:112
None,8,50,50,339,282,0.0009114169515669346,57,10152,literbs-8,MERGEPOINT R:56
None,8,50,50,339,282,0.0009717090288177133,57,10152,literbs-8-pruned,MERGEDIRECT R:56
None,8,50,49,379,310,0.00467891595326364,69,11072,literbs-8-pruned-spacing,MERGEDIRECT R:70
None,8,50,51,324,269,0.001023916993290186,55,9760,literbs-8-pythag,MERGEPOINT R:54
None,8,50,51,324,269,0.0011055419454351068,55,9760,literbs-8-pythag-pruned,MERGEDIRECT R:54
None,8,50,50,278,226,0.008286459022201598,52,31784,jps,
None,8,50,50,2311,2259,0.06291616603266448,52,239872,bf,
None,8,50,50,2311,2259,0.01972154201939702,52,341448,spfa,
None,8,50,49,290,235,0.0025146660627797246,54,43120,da2,
None,8,50,49,2174,2121,0.024046124890446663,53,194608,a2,
None,8,50,49,2308,2257,0.34475608298089355,51,123832,lee,
None,8,50,11,255,155,0.001178584061563015,100,11048,literbs,MERGEINTRAIL R:97
None,8,50,61,265,166,0.0012794589856639504,99,11264,literbs-pythag,MERGEPOINT R:97
None,8,50,11,255,156,0.001469540991820395,99,11040,literbs-pruned,MERGEDIRECT R:97
None,8,50,33,277,178,0.003331584041006863,99,11400,literbs-pruned-spacing,MERGEDIRECT R:97
None,8,50,48,316,264,0.0008128340123221278,52,9656,literbs-8,MERGEPOINT R:51
None,8,50,48,316,264,0.0008847500430420041,52,9656,literbs-8-pruned,MERGEDIRECT R:51
None,8,50,49,356,294,0.0045037089148536325,62,10432,literbs-8-pruned-spacing,MERGEDIRECT R:62
None,8,50,49,312,258,0.0009955840650945902,54,9504,literbs-8-pythag,MERGEPOINT R:52
None,8,50,50,312,259,0.0010614999337121844,53,9488,literbs-8-pythag-pruned,MERGEDIRECT R:52
None,8,50,49,243,192,0.0058492920361459255,51,29640,jps,
None,8,50,49,2308,2257,0.035121708060614765,51,237800,bf,
None,8,50,49,2308,2257,0.01958091591950506,51,341280,spfa,
None,8,50,49,282,226,0.0024490420473739505,55,43072,da2,
None,8,50,49,2232,2179,0.024858250049874187,53,197688,a2,
None,8,50,50,2310,2258,0.3471399169648066,52,123832,lee,
None,8,50,21,297,193,0.0014059169916436076,104,11880,literbs,MERGEINTRAIL R:121
None,8,50,63,265,166,0.0013200410176068544,99,11248,literbs-pythag,MERGEPOINT R:98
None,8,50,21,297,194,0.001761249965056777,103,11872,literbs-pruned,MERGEDIRECT R:121
None,8,50,39,271,172,0.0032827500253915787,99,11352,literbs-pruned-spacing,MERGEDIRECT R:98
None,8,50,50,314,261,0.0008286660304293036,53,9656,literbs-8,MERGEPOINT R:51
None,8,50,50,314,261,0.0009088340448215604,53,9656,literbs-8-pruned,MERGEINTRAIL R:51
None,8,50,53,359,294,0.0042106249602511525,65,10584,literbs-8-pruned-spacing,MERGEDIRECT R:71
None,8,50,50,315,263,0.0009767499286681414,52,9648,literbs-8-pythag,MERGEPOINT R:51
None,8,50,50,315,263,0.001052499981597066,52,9648,literbs-8-pythag-pruned,MERGEDIRECT R:51
None,8,50,50,263,211,0.0067949589574709535,52,31048,jps,
None,8,50,50,2310,2258,0.034512082929722965,52,238472,bf,
None,8,50,49,2310,2258,0.01965495804324746,52,341560,spfa,
None,8,50,49,276,219,0.0024287080159410834,56,42352,da2,
None,8,50,49,2097,2044,0.02406699990388006,53,189464,a2,
None,8,50,50,2306,2254,0.3464758329791948,52,123832,lee,
None,8,50,15,256,152,0.0011982920113950968,104,11008,literbs,MERGEINTRAIL R:101
None,8,50,53,332,233,0.0017428750870749354,99,12432,literbs-pythag,MERGEPOINT R:132
None,8,50,16,256,153,0.0015404580626636744,103,11000,literbs-pruned,MERGEDIRECT R:101
None,8,50,34,289,188,0.0035721659660339355,101,11688,literbs-pruned-spacing,MERGEDIRECT R:103
None,8,50,52,332,276,0.000883250031620264,56,9880,literbs-8,MERGEPOINT R:54
None,8,50,52,332,276,0.0009314999915659428,56,9880,literbs-8-pruned,MERGEINTRAIL R:54
None,8,50,49,350,285,0.004178417031653225,65,10328,literbs-8-pruned-spacing,MERGEDIRECT R:66
None,8,50,51,310,255,0.0009921659948304296,55,9440,literbs-8-pythag,MERGEPOINT R:53
None,8,50,51,310,255,0.0010676250094547868,55,9440,literbs-8-pythag-pruned,MERGEDIRECT R:53
None,8,50,50,261,209,0.006348749971948564,52,30328,jps,
None,8,50,50,2306,2254,0.04727491596713662,52,238864,bf,
None,8,50,50,2306,2254,0.0194877089234069,52,342904,spfa,
None,8,50,49,272,217,0.002400666009634733,54,42920,da2,
None,8,50,49,2187,2134,0.02446354110725224,53,194840,a2,
None,8,50,50,2308,2256,0.3472295420942828,52,123832,lee,
None,8,50,10,231,129,0.0012434999225661159,102,10680,literbs,MERGEINTRAIL R:100
None,8,50,58,249,148,0.0013677909737452865,101,10816,literbs-pythag,MERGEPOINT R:100
None,8,50,10,231,130,0.00154487497638911,101,10672,literbs-pruned,MERGEDIRECT R:100
None,8,50,42,277,176,0.0033380830427631736,101,11488,literbs-pruned-spacing,MERGEDIRECT R:102
None,8,50,50,317,264,0.0008293749997392297,53,9680,literbs-8,MERGEPOINT R:51
None,8,50,50,317,264,0.0008991670329123735,53,9680,literbs-8-pruned,MERGEINTRAIL R:51
None,8,50,52,363,300,0.004375333082862198,63,10528,literbs-8-pruned-spacing,MERGEDIRECT R:66
None,8,50,50,318,266,0.0010008750250563025,52,9680,literbs-8-pythag,MERGEPOINT R:51
None,8,50,50,318,266,0.001057000015862286,52,9680,literbs-8-pythag-pruned,MERGEDIRECT R:51
None,8,50,50,226,174,0.0053128330036997795,52,29800,jps,
None,8,50,49,2308,2256,0.04676987498532981,52,238024,bf,
None,8,50,49,2308,2256,0.019882749998942018,52,338256,spfa,
None,8,50,48,286,231,0.0025400409940630198,54,43032,da2,
None,8,50,48,2292,2240,0.02575258305296302,52,199392,a2,
None,8,50,49,2305,2253,0.3482766670640558,52,123832,lee,
None,8,50,11,237,137,0.0011607909109443426,100,10640,literbs,MERGEINTRAIL R:97
None,8,50,64,353,252,0.0019297919934615493,101,12984,literbs-pythag,MERGEPOINT R:142
None,8,50,11,237,138,0.0015226249815896153,99,10632,literbs-pruned,MERGEDIRECT R:97
None,8,50,25,285,186,0.00355916703119874,99,11632,literbs-pruned-spacing,MERGEDIRECT R:97
None,8,50,48,325,273,0.0008521659765392542,52,9744,literbs-8,MERGEPOINT R:51
